770,sit up,夜更かしする
771,in succession,次々に
772,wear out,疲れさせる
773,out of control,制御できなくて
774,in the meantime,その間に
775,at the cost of,～を犠牲にして
776,put ~ into practice,実行する
777,break into,押し入る
778,have ~ to oneself,独占する
779,on fire,燃えている
780,come near,今にも～しそうである
781,burn down,焼け落ちる
782,settle down,落ち着く
783,be jealous of,妬む
784,hand in hand,手を取り合って
785,on board,搭乗して
786,take off,離陸する
787,in the light of,～を考慮して
788,lose no time ~ ing,すぐに～する
789,sell out,売り切れる
790,not more than,せいぜい～
791,object to,～に反対する
792,stand by,～の味方をする
793,rely on,頼る
794,show up,現れる
795,on duty,勤務中で
796,take ~ by surprise,驚かせる
797,show ~ around,～に～を案内する
798,take up,始める
799,make out,理解する
800,none of one`s business,余計なお世話
801,think over,～についてよく考える
802,pass on A to B,AをBに伝える
803,on one`s guard,用心して
804,address oneself to,～に話しかける
805,in the air,広まって
806,be certain of,確信している
807,accuse A of B,BのことでAを非難する
808,out of date,時代遅れの
809,keep good time,正確である
810,out of order,故障して
811,get the better of,打ち勝つ
812,yield to,屈服する
813,look up to,尊敬する
814,be considerate of,～に対して思いやりがある
815,put an end to,終える
816,be free to,自由に～する
817,indulge in,～にふける
818,for nothing,たたで
819,in exchange of,～と引き換えに
820,succeed to,継ぐ
821,get over,克服する
822,at any cost,ぜひ
823,turn a deaf ear to,耳を貸さない
824,allow for,考慮に入れる
825,be ashamed of,恥じている
826,leave nothing to be desired,まったく申し分ない
827,brush up,やり直す
828,leave for,出発する
829,in haste,急いで
830,catch up with,追いつく
831,dispose of,処理する
832,at first hand,直接
833,drop ~ a line,～に一筆書き送る
834,to the effect that,～という主旨で
835,call off,中止する
836,be about to,～しようとしている
837,take hold of,つかむ
838,keep an eye on,～に目を離さずにいる
839,cure A of B,AのBを治す
840,relieve A of B,AからBを取り除く
841,at least,少なくとも
842,set ~ free,解放する
843,in harmony with,～と調和して
844,pull a face,嫌な顔をする
845,in one`s company,～と一緒にいると
846,have an eye for,～に対する鑑識眼がある
847,go through with,やり遂げる
848,by halves,中途半端に
849,on one` part,～の方では
850,ascribe A to B,AをBのせいにする
851,as good as,ほとんど～も同然
852,be possessed of,～を所有している
853,be disapointed at,失望している
